candidate_id,application_year,target_role_family,target_role_level,region,age_group,true_age,highest_degree,school_tier,graduation_year,gpa_bucket,years_experience_total,years_experience_relevant,num_employers,avg_tenure_years,months_since_last_role,num_gaps_over_6mo,most_recent_title,most_recent_company_size,management_years,reports_max,num_skills_listed,num_programming_languages,num_cloud_platforms,num_databases,skill_python,skill_java,skill_javascript,skill_go,skill_kubernetes,skill_aws,skill_gcp,skill_azure,skill_sql,skill_spark,skill_terraform,skill_linux,skill_ml,modern_tech_count,legacy_tech_count,cert_count,has_top_cloud_cert,github_url_present,portfolio_url_present,open_source_mentions,patent_count,resume_word_count,bullet_count,quantified_impact_count,keyword_match_score,format_clean_score,salary_expectation_usd,willing_to_relocate,remote_only,estimated_start_year,tech_recency_score,leadership_signal_score,stability_score,callback,interview,offer,score_base_merit,score_experience_fit,score_management_fit,score_recency_reward,score_senior_title_penalty,score_structural_component,score_explicit_age_penalty,score_noise,score_final
cand_033553,2025,Security,Manager,Other,50-59,57,None,4,1990,<3.0,34.32525,32.04911,9,2.4350357,0,1,Senior Engineering Manager,1-10,9.846651,34,32,2,1,1,True,True,True,False,True,False,False,False,True,True,True,True,False,1,3,0,False,True,False,False,0,839,19,3,0.97680736,0.7178451,313807,False,False,1991,0.4553615,0.36339957,0.2240875,False,,,0.65345156,0.053777277,0.011555115,0.008,-0.02,0.053332392,-0.022,0.0018901951,0.6866741
cand_009427,2025,Sales,Staff,India,<30,25,MS,5,2021,unknown,4.108773,3.351177,1,2.925922,0,0,Engineer,1000+,0.0,3,5,5,0,1,False,False,True,True,True,True,True,False,False,False,False,True,False,7,0,1,False,True,False,True,0,770,27,2,0.5727179,0.99886054,101530,False,False,2021,0.73454356,0.006,0.34135756,True,,,0.5622234,0.08909781,0.037741978,0.055999998,-0.0,0.18283978,-0.0,-0.0026113098,0.74245185
cand_000199,2025,Sales,Manager,UK,30-39,38,Bootcamp,5,2008,unknown,15.25477,13.65116,5,2.16794,11,0,Engineering Manager,1000+,1.4577628,2,28,4,1,3,False,False,True,False,True,False,False,True,False,False,True,False,True,5,0,2,False,True,False,False,0,830,12,4,0.977108,0.9002727,187248,False,False,2010,0.686255,0.04773289,0.25292632,True,,,0.6960423,0.099580154,0.046418358,0.04,-0.0,0.1859985,-0.005,-0.013813511,0.8632273
cand_012447,2025,SRE,Mid,US-Central,<30,24,AA,2,2022,unknown,2.8105376,2.5536795,2,2.7146878,2,1,Junior Engineer,51-200,0.0,5,19,5,1,3,True,False,False,False,True,False,True,False,True,False,False,True,True,5,0,1,False,True,True,False,0,758,35,3,0.5432819,0.7944575,138771,True,False,2022,0.60698974,0.010000001,0.25671357,False,,,0.51704013,0.08713555,0.037741978,0.04,-0.0,0.16487753,-0.0,0.0059818025,0.6878995
cand_039489,2025,SRE,Manager,EU,30-39,30,PhD,5,2016,3.8+,9.596379,9.018501,3,3.2704086,0,0,Senior Engineer,1000+,1.0432535,8,21,4,1,3,True,False,True,True,True,True,True,False,True,False,True,False,True,1,0,1,False,True,True,False,0,686,26,8,0.46390247,0.8976408,139590,False,False,2015,0.3527805,0.04729761,0.38154766,False,,,0.53989404,0.09863755,0.04436147,0.008,-0.0,0.15099902,-0.005,-0.03597474,0.6499183
cand_042724,2025,Data,Director,US-West,40-49,40,MS,2,2007,unknown,17.586731,16.878725,4,2.097478,0,0,Staff Engineer,201-1000,6.1464596,32,19,4,1,2,True,False,True,False,False,False,True,False,False,True,False,False,False,4,0,3,False,False,False,True,0,723,25,3,0.81787044,0.6924242,223832,True,False,2007,0.6035741,0.2483938,0.24470577,True,,,0.59273946,0.0963935,0.036695037,0.032,-0.0,0.16508855,-0.015,0.021976555,0.76480454
cand_010822,2025,SWE,Manager,India,30-39,37,HS,4,2010,3.5-3.7,10.802358,8.178822,2,0.60832983,13,1,Senior Engineer,11-50,2.8850515,10,26,2,0,0,True,False,True,True,False,False,False,False,True,True,True,True,False,4,0,0,False,True,False,True,0,251,35,5,0.82401323,0.61179566,187582,False,False,2014,0.59396935,0.10655155,0.010971807,True,,,0.59076375,0.09777189,0.04997936,0.032,-0.0,0.17975125,-0.005,-0.02757942,0.73793554
cand_049498,2025,Sales,Entry,US-West,<30,23,None,2,2025,unknown,0.0,0.0,0,2.2920048,14,1,Intern,201-1000,0.0,0,27,4,0,1,False,True,False,False,True,True,True,False,True,False,False,False,True,6,0,1,False,False,False,True,0,729,18,3,0.60509926,0.90825367,50285,False,False,2025,0.6693532,0.0,0.20740056,True,,,0.56143546,0.08007374,0.037741978,0.048,-0.0,0.16581571,-0.0,0.031212773,0.7584639
cand_004144,2025,SWE,Director,India,40-49,40,None,3,2008,3.8+,15.927036,13.674423,1,3.08579,1,0,Engineering Manager,1000+,3.955475,16,29,7,1,2,True,False,True,False,False,True,True,False,True,True,False,True,True,3,0,1,True,True,False,False,0,584,19,10,0.49211735,0.8050776,188868,True,False,2009,0.47759014,0.15066426,0.3600088,True,,,0.54325664,0.09956826,0.048593696,0.024,-0.0,0.17216197,-0.015,0.03571399,0.73613256
cand_036958,2025,SRE,Senior,US-East,30-39,38,Bootcamp,4,2010,unknown,13.543353,10.582989,3,2.8035128,14,2,Staff Engineer,201-1000,2.8185904,15,17,3,1,2,True,True,True,False,True,False,False,False,True,False,False,True,False,2,1,0,False,True,False,False,1,846,31,5,0.69945973,0.7147201,188966,False,False,2011,0.4482253,0.11455771,0.20707649,False,,,0.5677549,0.099690616,0.049948607,0.016,-0.0,0.16563922,-0.005,-0.029226746,0.69916743
cand_043106,2025,Data,Mid,EU,30-39,36,MS,2,2010,3.8+,10.97843,10.492258,1,3.2226148,8,1,Staff Engineer,51-200,1.496347,5,22,7,0,1,True,False,True,False,False,False,False,False,True,False,True,True,True,5,0,0,False,True,False,True,0,388,20,1,0.814766,0.6540421,177110,False,False,2014,0.65628654,0.05489041,0.3159717,False,,,0.57197654,0.0996498,0.046589147,0.04,-0.0,0.18623894,-0.005,-0.032270927,0.7209446
cand_038695,2025,SWE,Director,US-West,50-59,51,None,5,1995,unknown,29.147179,23.87197,8,3.2488775,0,0,Engineering Manager,1000+,6.3947144,27,23,9,2,1,True,True,False,False,True,True,False,False,True,False,True,True,False,3,2,3,False,True,False,False,0,531,42,6,0.8598285,0.7040542,288463,False,False,1996,0.5519657,0.24584144,0.3790357,False,,,0.62775075,0.08045231,0.034879364,0.024,-0.0,0.13933167,-0.022,-0.019005775,0.72607666
cand_006188,2025,SWE,Mid,EU,30-39,38,HS,3,2008,3.8+,17.53356,14.492997,4,3.732297,4,1,Staff Engineer,201-1000,5.0370846,22,29,4,0,2,True,False,True,False,False,True,False,False,True,True,False,True,False,3,1,0,False,False,False,False,0,578,37,3,0.92317843,0.95778525,239340,False,True,2007,0.56130236,0.19511256,0.37543464,True,,,0.6826695,0.09904548,0.04391889,0.024,-0.0,0.16696437,-0.005,0.07944077,0.92407465
