n_cluster_features_removed,last_removed,AUC,gap_30_39_minus_60plus,n_adverse_4_5
0,(none),0.9513431999999999,0.5792337194791279,3
1,graduation_year,0.9513206,0.5821941705705942,3
2,years_experience_total,0.951147,0.5762732683876617,3
3,years_experience_relevant,0.94981236,0.5673919151132628,3
4,num_employers,0.94974104,0.5697244709279913,3
5,avg_tenure_years,0.9497352800000001,0.5690580264094974,3
6,management_years,0.9485657999999999,0.5680198103900007,3
7,reports_max,0.94804604,0.555588659989154,3
8,most_recent_title,0.9359119200000002,0.44229570535311763,3
9,legacy_tech_count,0.934618,0.4379638159829076,3
10,modern_tech_count,0.9299186000000002,0.4272373261200515,3
11,salary_expectation_usd,0.8670699199999999,-0.0073433038660315475,0
