arm,age_group,n,selection_rate,wilson_lo,wilson_hi
with_grad_year,<30,2494,0.6379310344827587,0.6188701035874018,0.6565676983933164
with_grad_year,30-39,3001,0.651782739086971,0.6345533797282961,0.6686239990726364
with_grad_year,40-49,2501,0.44422231107556975,0.42484883976804083,0.4637668715008873
with_grad_year,50-59,1494,0.2001338688085676,0.18062590654653427,0.2211799986973847
with_grad_year,60+,510,0.07254901960784314,0.05308958967941713,0.09839989657471257
without_grad_year,<30,2494,0.6351242983159583,0.6160364910144412,0.653796471972483
without_grad_year,30-39,3001,0.6527824058647118,0.6355631824107921,0.6696109738575451
without_grad_year,40-49,2501,0.44302279088364654,0.4236564817580277,0.4625638684629204
without_grad_year,50-59,1494,0.1994645247657296,0.17998364563352798,0.22048700493459622
without_grad_year,60+,510,0.07058823529411765,0.05142030506994879,0.09617693112112644
without_proxy_cluster,<30,2494,0.48917401764234164,0.4695867910112709,0.5087945442983821
without_proxy_cluster,30-39,3001,0.5004998333888704,0.4826213534936817,0.5183770352400208
without_proxy_cluster,40-49,2501,0.5017992802878849,0.48221559892538784,0.5213774426465824
without_proxy_cluster,50-59,1494,0.5,0.47467828411586854,0.5253217158841315
without_proxy_cluster,60+,510,0.5078431372549019,0.4645571705816845,0.5510118296705332
