jd,career_stage,n,mean_sim
junior_swe,early_career,80,0.40094023955542185
junior_swe,mid_career,2718,0.41496416078064535
junior_swe,senior_career,1303,0.38147349100166184
junior_swe,very_senior,213,0.35898468355220486
mid_swe,early_career,80,0.4321735123296174
mid_swe,mid_career,2718,0.44705305426950076
mid_swe,senior_career,1303,0.4235454956993977
mid_swe,very_senior,213,0.41845895538988653
senior_swe,early_career,80,0.45486070487708063
senior_swe,mid_career,2718,0.46428071662734965
senior_swe,senior_career,1303,0.46904997884061056
senior_swe,very_senior,213,0.47802673026590464
staff_swe,early_career,80,0.4172868355043901
staff_swe,mid_career,2718,0.4239585924067439
staff_swe,senior_career,1303,0.43599472199636646
staff_swe,very_senior,213,0.4519104402589026
eng_manager,early_career,80,0.3974459137898749
eng_manager,mid_career,2718,0.406481272535948
eng_manager,senior_career,1303,0.4210479769270884
eng_manager,very_senior,213,0.4341794123749781
