career_stage_proxy,screening_outcome,rows,share
early_career,incumbent_only,6,0.046153846153846156
early_career,jobdesc_only,19,0.14615384615384616
early_career,screened_by_both,46,0.35384615384615387
early_career,screened_by_neither,59,0.45384615384615384
mid_career,incumbent_only,468,0.08993082244427364
mid_career,jobdesc_only,407,0.07820906994619524
mid_career,screened_by_both,1885,0.36222136817832434
mid_career,screened_by_neither,2444,0.46963873943120676
senior_career,incumbent_only,88,0.06321839080459771
senior_career,jobdesc_only,182,0.1307471264367816
senior_career,screened_by_both,535,0.3843390804597701
senior_career,screened_by_neither,587,0.42169540229885055
very_senior_or_legacy,incumbent_only,181,0.110231425091352
very_senior_or_legacy,jobdesc_only,147,0.08952496954933009
very_senior_or_legacy,screened_by_both,637,0.3879415347137637
very_senior_or_legacy,screened_by_neither,677,0.4123020706455542
unknown,incumbent_only,61,0.09651898734177215
unknown,jobdesc_only,60,0.0949367088607595
unknown,screened_by_both,143,0.22626582278481014
unknown,screened_by_neither,368,0.5822784810126582
