population,generation_mode,audit_pattern,hit_rows,hit_rate
candidate,minimal_proxy,bracket_placeholder,0,0.0
candidate,minimal_proxy,unspecified_or_not_provided,0,0.0
candidate,minimal_proxy,company_school_placeholder,0,0.0
candidate,minimal_proxy,url_placeholder,0,0.0
candidate,minimal_proxy,numbered_certification,0,0.0
candidate,minimal_proxy,project_details_placeholder,0,0.0
candidate,minimal_proxy,highest_degree_none,0,0.0
candidate,minimal_proxy,protected_field_terms,0,0.0
candidate,minimal_proxy,outcome_label_terms,0,0.0
candidate,minimal_proxy,explicit_age_phrase,0,0.0
candidate,with_proxies,bracket_placeholder,0,0.0
candidate,with_proxies,unspecified_or_not_provided,0,0.0
candidate,with_proxies,company_school_placeholder,0,0.0
candidate,with_proxies,url_placeholder,0,0.0
candidate,with_proxies,numbered_certification,0,0.0
candidate,with_proxies,project_details_placeholder,0,0.0
candidate,with_proxies,highest_degree_none,0,0.0
candidate,with_proxies,protected_field_terms,0,0.0
candidate,with_proxies,outcome_label_terms,0,0.0
candidate,with_proxies,explicit_age_phrase,0,0.0
candidate,without_direct_age_proxies,bracket_placeholder,0,0.0
candidate,without_direct_age_proxies,unspecified_or_not_provided,0,0.0
candidate,without_direct_age_proxies,company_school_placeholder,0,0.0
candidate,without_direct_age_proxies,url_placeholder,0,0.0
candidate,without_direct_age_proxies,numbered_certification,0,0.0
candidate,without_direct_age_proxies,project_details_placeholder,0,0.0
candidate,without_direct_age_proxies,highest_degree_none,0,0.0
candidate,without_direct_age_proxies,protected_field_terms,0,0.0
candidate,without_direct_age_proxies,outcome_label_terms,0,0.0
candidate,without_direct_age_proxies,explicit_age_phrase,0,0.0
reference_employee,minimal_proxy,bracket_placeholder,0,0.0
reference_employee,minimal_proxy,unspecified_or_not_provided,0,0.0
reference_employee,minimal_proxy,company_school_placeholder,0,0.0
reference_employee,minimal_proxy,url_placeholder,0,0.0
reference_employee,minimal_proxy,numbered_certification,0,0.0
reference_employee,minimal_proxy,project_details_placeholder,0,0.0
reference_employee,minimal_proxy,highest_degree_none,0,0.0
reference_employee,minimal_proxy,protected_field_terms,0,0.0
reference_employee,minimal_proxy,outcome_label_terms,0,0.0
reference_employee,minimal_proxy,explicit_age_phrase,0,0.0
reference_employee,with_proxies,bracket_placeholder,0,0.0
reference_employee,with_proxies,unspecified_or_not_provided,0,0.0
reference_employee,with_proxies,company_school_placeholder,0,0.0
reference_employee,with_proxies,url_placeholder,0,0.0
reference_employee,with_proxies,numbered_certification,0,0.0
reference_employee,with_proxies,project_details_placeholder,0,0.0
reference_employee,with_proxies,highest_degree_none,0,0.0
reference_employee,with_proxies,protected_field_terms,0,0.0
reference_employee,with_proxies,outcome_label_terms,0,0.0
reference_employee,with_proxies,explicit_age_phrase,0,0.0
reference_employee,without_direct_age_proxies,bracket_placeholder,0,0.0
reference_employee,without_direct_age_proxies,unspecified_or_not_provided,0,0.0
reference_employee,without_direct_age_proxies,company_school_placeholder,0,0.0
reference_employee,without_direct_age_proxies,url_placeholder,0,0.0
reference_employee,without_direct_age_proxies,numbered_certification,0,0.0
reference_employee,without_direct_age_proxies,project_details_placeholder,0,0.0
reference_employee,without_direct_age_proxies,highest_degree_none,0,0.0
reference_employee,without_direct_age_proxies,protected_field_terms,0,0.0
reference_employee,without_direct_age_proxies,outcome_label_terms,0,0.0
reference_employee,without_direct_age_proxies,explicit_age_phrase,0,0.0
