screen_metric,generation_mode,age_group,rows,screen_rate,mean_score,mean_top10_score,mean_max_score
max_reference_similarity,minimal_proxy,<30,200,0.31,0.70494294,0.8263495,0.85799384
max_reference_similarity,minimal_proxy,30-39,200,0.6,0.71783096,0.84912926,0.88878006
max_reference_similarity,minimal_proxy,40-49,200,0.54,0.71175766,0.8435999,0.88285315
max_reference_similarity,minimal_proxy,50-59,200,0.45,0.7023869,0.83256614,0.8695321
max_reference_similarity,minimal_proxy,60+,200,0.35,0.70154655,0.8298597,0.86588186
max_reference_similarity,with_proxies,<30,200,0.22,0.6929791,0.8178048,0.84871846
max_reference_similarity,with_proxies,30-39,200,0.56,0.7006365,0.8350375,0.8767512
max_reference_similarity,with_proxies,40-49,200,0.555,0.70504713,0.8371818,0.8761986
max_reference_similarity,with_proxies,50-59,200,0.515,0.70161325,0.8340239,0.8711044
max_reference_similarity,with_proxies,60+,200,0.4,0.6902478,0.8256852,0.86194986
max_reference_similarity,without_direct_age_proxies,<30,200,0.265,0.6977368,0.82053614,0.8532354
max_reference_similarity,without_direct_age_proxies,30-39,200,0.51,0.7069622,0.8381325,0.8778585
max_reference_similarity,without_direct_age_proxies,40-49,200,0.615,0.7143021,0.84390885,0.88014627
max_reference_similarity,without_direct_age_proxies,50-59,200,0.465,0.70594686,0.8349468,0.8674082
max_reference_similarity,without_direct_age_proxies,60+,200,0.395,0.6991209,0.82828873,0.8609143
mean_reference_similarity,minimal_proxy,<30,200,0.41,0.70494294,0.8263495,0.85799384
mean_reference_similarity,minimal_proxy,30-39,200,0.585,0.71783096,0.84912926,0.88878006
mean_reference_similarity,minimal_proxy,40-49,200,0.5,0.71175766,0.8435999,0.88285315
mean_reference_similarity,minimal_proxy,50-59,200,0.375,0.7023869,0.83256614,0.8695321
mean_reference_similarity,minimal_proxy,60+,200,0.38,0.70154655,0.8298597,0.86588186
mean_reference_similarity,with_proxies,<30,200,0.35,0.6929791,0.8178048,0.84871846
mean_reference_similarity,with_proxies,30-39,200,0.475,0.7006365,0.8350375,0.8767512
mean_reference_similarity,with_proxies,40-49,200,0.56,0.70504713,0.8371818,0.8761986
mean_reference_similarity,with_proxies,50-59,200,0.505,0.70161325,0.8340239,0.8711044
mean_reference_similarity,with_proxies,60+,200,0.36,0.6902478,0.8256852,0.86194986
mean_reference_similarity,without_direct_age_proxies,<30,200,0.35,0.6977368,0.82053614,0.8532354
mean_reference_similarity,without_direct_age_proxies,30-39,200,0.46,0.7069622,0.8381325,0.8778585
mean_reference_similarity,without_direct_age_proxies,40-49,200,0.53,0.7143021,0.84390885,0.88014627
mean_reference_similarity,without_direct_age_proxies,50-59,200,0.49,0.70594686,0.8349468,0.8674082
mean_reference_similarity,without_direct_age_proxies,60+,200,0.42,0.6991209,0.82828873,0.8609143
top10_reference_similarity,minimal_proxy,<30,200,0.345,0.70494294,0.8263495,0.85799384
top10_reference_similarity,minimal_proxy,30-39,200,0.59,0.71783096,0.84912926,0.88878006
top10_reference_similarity,minimal_proxy,40-49,200,0.545,0.71175766,0.8435999,0.88285315
top10_reference_similarity,minimal_proxy,50-59,200,0.42,0.7023869,0.83256614,0.8695321
top10_reference_similarity,minimal_proxy,60+,200,0.35,0.70154655,0.8298597,0.86588186
top10_reference_similarity,with_proxies,<30,200,0.23,0.6929791,0.8178048,0.84871846
top10_reference_similarity,with_proxies,30-39,200,0.51,0.7006365,0.8350375,0.8767512
top10_reference_similarity,with_proxies,40-49,200,0.58,0.70504713,0.8371818,0.8761986
top10_reference_similarity,with_proxies,50-59,200,0.535,0.70161325,0.8340239,0.8711044
top10_reference_similarity,with_proxies,60+,200,0.395,0.6902478,0.8256852,0.86194986
top10_reference_similarity,without_direct_age_proxies,<30,200,0.27,0.6977368,0.82053614,0.8532354
top10_reference_similarity,without_direct_age_proxies,30-39,200,0.495,0.7069622,0.8381325,0.8778585
top10_reference_similarity,without_direct_age_proxies,40-49,200,0.595,0.7143021,0.84390885,0.88014627
top10_reference_similarity,without_direct_age_proxies,50-59,200,0.505,0.70594686,0.8349468,0.8674082
top10_reference_similarity,without_direct_age_proxies,60+,200,0.385,0.6991209,0.82828873,0.8609143
