similarity_metric,generation_mode,age_group,rows,mean_score,median_score,std_score,min_score,max_score
mean_reference_similarity,minimal_proxy,<30,200,0.70494294,0.70553863,0.033645827,0.58810985,0.772927
mean_reference_similarity,minimal_proxy,30-39,200,0.71783096,0.71915257,0.028184224,0.6462607,0.7785414
mean_reference_similarity,minimal_proxy,40-49,200,0.71175766,0.71413445,0.033895228,0.5826367,0.7740842
mean_reference_similarity,minimal_proxy,50-59,200,0.7023869,0.70429474,0.030627359,0.59520704,0.7651726
mean_reference_similarity,minimal_proxy,60+,200,0.70154655,0.7057556,0.03168968,0.6027258,0.76143855
mean_reference_similarity,with_proxies,<30,200,0.6929791,0.69664633,0.030182997,0.59182656,0.7505153
mean_reference_similarity,with_proxies,30-39,200,0.7006365,0.7039188,0.031752117,0.6152225,0.7615933
mean_reference_similarity,with_proxies,40-49,200,0.70504713,0.71043134,0.03510343,0.5839408,0.7705369
mean_reference_similarity,with_proxies,50-59,200,0.70161325,0.70595044,0.03414922,0.6070968,0.76971763
mean_reference_similarity,with_proxies,60+,200,0.6902478,0.6946637,0.034139764,0.5809777,0.7689443
mean_reference_similarity,without_direct_age_proxies,<30,200,0.6977368,0.699666,0.028973797,0.60622156,0.7607513
mean_reference_similarity,without_direct_age_proxies,30-39,200,0.7069622,0.7073639,0.03146175,0.6052576,0.7730477
mean_reference_similarity,without_direct_age_proxies,40-49,200,0.7143021,0.7146361,0.03355533,0.56508803,0.7753428
mean_reference_similarity,without_direct_age_proxies,50-59,200,0.70594686,0.7107968,0.035056304,0.60284066,0.77729857
mean_reference_similarity,without_direct_age_proxies,60+,200,0.6991209,0.70623666,0.03749003,0.5827252,0.7750138
max_reference_similarity,minimal_proxy,<30,200,0.85799384,0.862165,0.035766248,0.7444478,0.9425296
max_reference_similarity,minimal_proxy,30-39,200,0.88878006,0.8864434,0.03836269,0.7881844,0.99224174
max_reference_similarity,minimal_proxy,40-49,200,0.88285315,0.88043714,0.041523296,0.72946143,0.9888633
max_reference_similarity,minimal_proxy,50-59,200,0.8695321,0.873537,0.030912584,0.7662568,0.9642132
max_reference_similarity,minimal_proxy,60+,200,0.86588186,0.86699164,0.029925331,0.7473551,0.93448913
max_reference_similarity,with_proxies,<30,200,0.84871846,0.85068333,0.02796281,0.75490093,0.9157782
max_reference_similarity,with_proxies,30-39,200,0.8767512,0.8750905,0.039021228,0.7662287,0.9923865
max_reference_similarity,with_proxies,40-49,200,0.8761986,0.87402594,0.03612619,0.78051686,0.98658895
max_reference_similarity,with_proxies,50-59,200,0.8711044,0.87260544,0.029499898,0.7826948,0.93925714
max_reference_similarity,with_proxies,60+,200,0.86194986,0.8609554,0.027948936,0.7911223,0.93747836
max_reference_similarity,without_direct_age_proxies,<30,200,0.8532354,0.8529343,0.030170355,0.76271355,0.9307717
max_reference_similarity,without_direct_age_proxies,30-39,200,0.8778585,0.87498915,0.037298463,0.77134776,0.9894989
max_reference_similarity,without_direct_age_proxies,40-49,200,0.88014627,0.87819356,0.032591548,0.79748327,0.96596277
max_reference_similarity,without_direct_age_proxies,50-59,200,0.8674082,0.86963046,0.0285858,0.7776828,0.9337261
max_reference_similarity,without_direct_age_proxies,60+,200,0.8609143,0.86287636,0.029933665,0.78057575,0.9264005
top10_reference_similarity,minimal_proxy,<30,200,0.8263495,0.8312479,0.032146763,0.72482485,0.9055985
top10_reference_similarity,minimal_proxy,30-39,200,0.84912926,0.8487424,0.025543613,0.7652443,0.9104236
top10_reference_similarity,minimal_proxy,40-49,200,0.8435999,0.84633195,0.029873028,0.7114668,0.9156289
top10_reference_similarity,minimal_proxy,50-59,200,0.83256614,0.8367356,0.02667179,0.7397264,0.883643
top10_reference_similarity,minimal_proxy,60+,200,0.8298597,0.8322197,0.026656039,0.72819734,0.88685113
top10_reference_similarity,with_proxies,<30,200,0.8178048,0.8201885,0.02389861,0.7311522,0.874029
top10_reference_similarity,with_proxies,30-39,200,0.8350375,0.8364531,0.025427418,0.74679565,0.891113
top10_reference_similarity,with_proxies,40-49,200,0.8371818,0.8398069,0.025579961,0.74535215,0.8963844
top10_reference_similarity,with_proxies,50-59,200,0.8340239,0.83584964,0.026068475,0.7525776,0.88789576
top10_reference_similarity,with_proxies,60+,200,0.8256852,0.8267821,0.023753108,0.759235,0.8848809
top10_reference_similarity,without_direct_age_proxies,<30,200,0.82053614,0.82107437,0.025165457,0.74796456,0.8718025
top10_reference_similarity,without_direct_age_proxies,30-39,200,0.8381325,0.8392292,0.024827147,0.74231243,0.8920566
top10_reference_similarity,without_direct_age_proxies,40-49,200,0.84390885,0.8468693,0.024897724,0.7745604,0.8982705
top10_reference_similarity,without_direct_age_proxies,50-59,200,0.8349468,0.83972275,0.026532255,0.7458546,0.88207054
top10_reference_similarity,without_direct_age_proxies,60+,200,0.82828873,0.8314393,0.028096497,0.73711,0.8922655
