generation_mode,age_group,screening_outcome,rows,share
minimal_proxy,30-39,incumbent_only,81,0.405
minimal_proxy,30-39,jobdesc_only,16,0.08
minimal_proxy,30-39,screened_by_both,37,0.185
minimal_proxy,30-39,screened_by_neither,66,0.33
minimal_proxy,40-49,incumbent_only,51,0.255
minimal_proxy,40-49,jobdesc_only,26,0.13
minimal_proxy,40-49,screened_by_both,58,0.29
minimal_proxy,40-49,screened_by_neither,65,0.325
minimal_proxy,50-59,incumbent_only,20,0.1
minimal_proxy,50-59,jobdesc_only,62,0.31
minimal_proxy,50-59,screened_by_both,64,0.32
minimal_proxy,50-59,screened_by_neither,54,0.27
minimal_proxy,60+,incumbent_only,15,0.075
minimal_proxy,60+,jobdesc_only,74,0.37
minimal_proxy,60+,screened_by_both,55,0.275
minimal_proxy,60+,screened_by_neither,56,0.28
minimal_proxy,<30,incumbent_only,35,0.175
minimal_proxy,<30,jobdesc_only,24,0.12
minimal_proxy,<30,screened_by_both,34,0.17
minimal_proxy,<30,screened_by_neither,107,0.535
with_proxies,30-39,incumbent_only,55,0.275
with_proxies,30-39,jobdesc_only,14,0.07
with_proxies,30-39,screened_by_both,47,0.235
with_proxies,30-39,screened_by_neither,84,0.42
with_proxies,40-49,incumbent_only,43,0.215
with_proxies,40-49,jobdesc_only,29,0.145
with_proxies,40-49,screened_by_both,73,0.365
with_proxies,40-49,screened_by_neither,55,0.275
with_proxies,50-59,incumbent_only,31,0.155
with_proxies,50-59,jobdesc_only,52,0.26
with_proxies,50-59,screened_by_both,76,0.38
with_proxies,50-59,screened_by_neither,41,0.205
with_proxies,60+,incumbent_only,26,0.13
with_proxies,60+,jobdesc_only,62,0.31
with_proxies,60+,screened_by_both,53,0.265
with_proxies,60+,screened_by_neither,59,0.295
with_proxies,<30,incumbent_only,29,0.145
with_proxies,<30,jobdesc_only,27,0.135
with_proxies,<30,screened_by_both,17,0.085
with_proxies,<30,screened_by_neither,127,0.635
without_direct_age_proxies,30-39,incumbent_only,55,0.275
without_direct_age_proxies,30-39,jobdesc_only,16,0.08
without_direct_age_proxies,30-39,screened_by_both,44,0.22
without_direct_age_proxies,30-39,screened_by_neither,85,0.425
without_direct_age_proxies,40-49,incumbent_only,44,0.22
without_direct_age_proxies,40-49,jobdesc_only,23,0.115
without_direct_age_proxies,40-49,screened_by_both,75,0.375
without_direct_age_proxies,40-49,screened_by_neither,58,0.29
without_direct_age_proxies,50-59,incumbent_only,30,0.15
without_direct_age_proxies,50-59,jobdesc_only,55,0.275
without_direct_age_proxies,50-59,screened_by_both,71,0.355
without_direct_age_proxies,50-59,screened_by_neither,44,0.22
without_direct_age_proxies,60+,incumbent_only,21,0.105
without_direct_age_proxies,60+,jobdesc_only,69,0.345
without_direct_age_proxies,60+,screened_by_both,56,0.28
without_direct_age_proxies,60+,screened_by_neither,54,0.27
without_direct_age_proxies,<30,incumbent_only,32,0.16
without_direct_age_proxies,<30,jobdesc_only,19,0.095
without_direct_age_proxies,<30,screened_by_both,22,0.11
without_direct_age_proxies,<30,screened_by_neither,127,0.635
