generation_mode,age_group,rows,mean_jobdesc_percentile,mean_incumbent_percentile,mean_jobdesc_minus_incumbent_percentile,jobdesc_screen_rate,incumbent_screen_rate
minimal_proxy,30-39,200,0.38260500000000003,0.62372,-0.241115,0.265,0.59
minimal_proxy,40-49,200,0.48340000000000005,0.571775,-0.08837500000000001,0.42,0.545
minimal_proxy,50-59,200,0.61098,0.4644525,0.1465275,0.63,0.42
minimal_proxy,60+,200,0.635415,0.429,0.20641500000000002,0.645,0.35
minimal_proxy,<30,200,0.3901,0.4135525,-0.0234525,0.29,0.345
with_proxies,30-39,200,0.39537999999999995,0.55737,-0.16199000000000002,0.305,0.51
with_proxies,40-49,200,0.5371950000000001,0.5829975000000001,-0.045802499999999996,0.51,0.58
with_proxies,50-59,200,0.6372399999999999,0.5472899999999999,0.08994999999999999,0.64,0.535
with_proxies,60+,200,0.5841149999999999,0.450345,0.13377,0.575,0.395
with_proxies,<30,200,0.34857,0.36449750000000003,-0.0159275,0.22,0.23
without_direct_age_proxies,30-39,200,0.39359,0.549335,-0.155745,0.3,0.495
without_direct_age_proxies,40-49,200,0.54203,0.6117750000000001,-0.069745,0.49,0.595
without_direct_age_proxies,50-59,200,0.623405,0.52562,0.09778500000000001,0.63,0.505
without_direct_age_proxies,60+,200,0.603175,0.45427,0.14890499999999998,0.625,0.385
without_direct_age_proxies,<30,200,0.3403,0.3615,-0.0212,0.205,0.27
