generation_mode,age_group,reference_rows,mean_years_experience_relevant,mean_management_years,mean_modern_tech_count,mean_legacy_tech_count
minimal_proxy,<30,11,6.729944609090908,2.0229849727272726,4.545454545454546,0.0
minimal_proxy,30-39,290,7.6289894365517235,2.175453745172414,4.2172413793103445,0.46206896551724136
minimal_proxy,40-49,198,8.492343155555556,2.3207891560606058,3.6262626262626263,0.8535353535353535
minimal_proxy,50-59,1,9.54749,2.2542288,3.0,1.0
with_proxies,<30,11,6.729944609090908,2.0229849727272726,4.545454545454546,0.0
with_proxies,30-39,290,7.6289894365517235,2.175453745172414,4.2172413793103445,0.46206896551724136
with_proxies,40-49,198,8.492343155555556,2.3207891560606058,3.6262626262626263,0.8535353535353535
with_proxies,50-59,1,9.54749,2.2542288,3.0,1.0
without_direct_age_proxies,<30,11,6.729944609090908,2.0229849727272726,4.545454545454546,0.0
without_direct_age_proxies,30-39,290,7.6289894365517235,2.175453745172414,4.2172413793103445,0.46206896551724136
without_direct_age_proxies,40-49,198,8.492343155555556,2.3207891560606058,3.6262626262626263,0.8535353535353535
without_direct_age_proxies,50-59,1,9.54749,2.2542288,3.0,1.0
