jd,age_group,n,mean_sim,lo,hi
junior_swe,<30,2499,0.4191022198276095,0.41770409536027997,0.420500344294939
junior_swe,30-39,2493,0.4196463408358881,0.4181532451515137,0.4211394365202625
junior_swe,40-49,2493,0.4190859191447726,0.41755350743134795,0.4206183308581973
junior_swe,50-59,2481,0.40927826057379807,0.40774783830062955,0.4108086828469666
junior_swe,60+,2479,0.40232687381140086,0.40087461459168555,0.4037791330311162
mid_swe,<30,2499,0.45916683355329396,0.45788461624104815,0.4604490508655398
mid_swe,30-39,2493,0.47156650020904256,0.47040341525187856,0.47272958516620656
mid_swe,40-49,2493,0.4683056531846674,0.4672022075580355,0.4694090988112993
mid_swe,50-59,2481,0.46400161620954405,0.4628713003011177,0.4651319321179704
mid_swe,60+,2479,0.46149856814419504,0.4603733562772532,0.4626237800111369
senior_swe,<30,2499,0.45517119063869393,0.4534967614166193,0.45684561986076855
senior_swe,30-39,2493,0.4788650101598001,0.4774194106321501,0.4803106096874501
senior_swe,40-49,2493,0.48052037915422474,0.47920613321099603,0.48183462509745345
senior_swe,50-59,2481,0.47801039295224584,0.47668009342650186,0.4793406924779898
senior_swe,60+,2479,0.4759916879370281,0.47461665178557355,0.4773667240884827
staff_swe,<30,2499,0.41088721649958393,0.40957958845823844,0.4121948445409294
staff_swe,30-39,2493,0.44134259834453055,0.4401136515244536,0.4425715451646075
staff_swe,40-49,2493,0.44879936780828544,0.44771705477818813,0.44988168083838276
staff_swe,50-59,2481,0.44677751174629315,0.4456837629810208,0.4478712605115655
staff_swe,60+,2479,0.4463714598331024,0.44523128543070983,0.44751163423549495
eng_manager,<30,2499,0.4139659632375472,0.41241114530208794,0.41552078117300645
eng_manager,30-39,2493,0.4334083620469789,0.4320004880790342,0.43481623601492364
eng_manager,40-49,2493,0.44435959094573657,0.44293999098438236,0.4457791909070908
eng_manager,50-59,2481,0.44381471146288565,0.44240887493657294,0.44522054798919836
eng_manager,60+,2479,0.44655266966968077,0.44508762834658294,0.4480177109927786
