age_group,reference,n,mean_sim,lo,hi
<30,sim_R1,2359,0.7839759577587284,0.782735682918696,0.7852162325987608
<30,sim_R2,2359,0.7831853652254195,0.7819186032387049,0.7844521272121341
30-39,sim_R1,1955,0.8042994964657366,0.8030985619451603,0.805500430986313
30-39,sim_R2,1955,0.8032037004771667,0.8020025804020234,0.80440482055231
40-49,sim_R1,2391,0.8060515500275341,0.8049841613880108,0.8071189386670575
40-49,sim_R2,2391,0.8107256758084168,0.8096837272466684,0.8117676243701653
50-59,sim_R1,2381,0.8015655798395216,0.8005010785186305,0.8026300811604127
50-59,sim_R2,2381,0.8085818530932645,0.8075361003646292,0.8096276058218997
60+,sim_R1,2379,0.7984983925216618,0.7974395435369068,0.7995572415064167
60+,sim_R2,2379,0.8063061223817427,0.8052679383113323,0.8073443064521532
