generation_mode,age_group,rows,mean_words,median_words,std_words
minimal_proxy,30-39,200,74.82,74.0,9.543742194515572
minimal_proxy,40-49,200,75.185,75.0,7.989363217623517
minimal_proxy,50-59,200,74.715,74.5,8.167454411123998
minimal_proxy,60+,200,73.415,73.0,8.373370988350073
minimal_proxy,<30,200,71.29,70.5,9.029594001902634
with_proxies,30-39,200,108.51,108.0,14.202409732543813
with_proxies,40-49,200,111.595,111.0,11.924425968295782
with_proxies,50-59,200,112.695,112.0,12.725630963417316
with_proxies,60+,200,114.295,113.0,13.075658270082616
with_proxies,<30,200,97.15,96.0,15.88392253112796
without_direct_age_proxies,30-39,200,108.52,109.0,12.680836647889299
without_direct_age_proxies,40-49,200,113.54,113.0,12.117033983727787
without_direct_age_proxies,50-59,200,114.02,113.0,12.067215438625892
without_direct_age_proxies,60+,200,113.465,112.0,11.875771331733281
without_direct_age_proxies,<30,200,94.98,94.0,13.500776080428459
