generation_mode,age_group,rows,mean_similarity,median_similarity,std_similarity,min_similarity,max_similarity
minimal_proxy,30-39,200,0.5864252,0.58839226,0.04910471,0.44373745,0.7228173
minimal_proxy,40-49,200,0.6059728,0.60598785,0.056645725,0.44185084,0.75879973
minimal_proxy,50-59,200,0.63251144,0.6396514,0.060118403,0.4799028,0.77675664
minimal_proxy,60+,200,0.6365,0.64497036,0.057631414,0.4398402,0.78105205
minimal_proxy,<30,200,0.58712244,0.5936561,0.04793508,0.4477631,0.698535
with_proxies,30-39,200,0.6034064,0.60516477,0.051066786,0.460653,0.7288358
with_proxies,40-49,200,0.63046545,0.6335572,0.05522294,0.44284824,0.77201456
with_proxies,50-59,200,0.6508323,0.65382326,0.053302042,0.506653,0.75698894
with_proxies,60+,200,0.6404222,0.64161026,0.05502142,0.44450435,0.78426594
with_proxies,<30,200,0.5945609,0.5957794,0.048015177,0.46653718,0.72579134
without_direct_age_proxies,30-39,200,0.6063805,0.61114967,0.052985664,0.46573383,0.7759032
without_direct_age_proxies,40-49,200,0.63527447,0.6343774,0.053524423,0.3970608,0.7538123
without_direct_age_proxies,50-59,200,0.6511058,0.6560539,0.05195505,0.48773777,0.7723612
without_direct_age_proxies,60+,200,0.6465471,0.6530919,0.054293614,0.4863982,0.7630195
without_direct_age_proxies,<30,200,0.5972373,0.60028654,0.04644676,0.48160154,0.71298164
