candidate_id,age_group,minimal_proxy,with_proxies,without_direct_age_proxies,delta_with_vs_without,delta_without_vs_minimal,delta_with_vs_minimal
cand_000000,30-39,0.6471746,0.6173177,0.6211029,-0.0037852526,-0.026071668,-0.02985692
cand_000007,60+,0.6151159,0.55275065,0.54484534,0.007905304,-0.07027054,-0.062365234
cand_000054,50-59,0.7074058,0.70411104,0.71489924,-0.010788202,0.0074934363,-0.003294766
cand_000061,60+,0.64102864,0.60222197,0.6227098,-0.020487845,-0.018318832,-0.038806677
cand_000085,50-59,0.5585784,0.5440376,0.5839514,-0.039913833,0.025373042,-0.0145407915
cand_000095,60+,0.6676413,0.63944024,0.664562,-0.025121748,-0.0030792952,-0.028201044
cand_000111,30-39,0.53920424,0.59182394,0.6223327,-0.030508757,0.08312845,0.052619696
cand_000141,50-59,0.7300231,0.69105804,0.7432713,-0.05221325,0.013248205,-0.038965046
cand_000146,60+,0.6399376,0.6238456,0.6403538,-0.016508222,0.00041621923,-0.016092002
cand_000149,50-59,0.66443765,0.64813936,0.6463187,0.0018206835,-0.018118978,-0.016298294
cand_000151,60+,0.6129703,0.5789337,0.6376016,-0.0586679,0.024631321,-0.034036577
cand_000157,30-39,0.6464108,0.66870236,0.6533962,0.015306175,0.0069853663,0.022291541
cand_000179,<30,0.6369178,0.62716687,0.6024825,0.02468437,-0.03443533,-0.009750962
cand_000180,30-39,0.5715749,0.6550468,0.6236017,0.031445146,0.05202675,0.083471894
cand_000182,40-49,0.57231224,0.57180774,0.60369635,-0.031888604,0.03138411,-0.0005044937
cand_000183,40-49,0.55068195,0.562051,0.5252526,0.036798418,-0.025429368,0.01136905
cand_000185,30-39,0.63245964,0.6817752,0.6714998,0.0102754235,0.03904015,0.04931557
cand_000186,<30,0.5728343,0.5790043,0.51977503,0.059229255,-0.05305928,0.006169975
cand_000217,40-49,0.5184084,0.53061986,0.5555719,-0.024952054,0.037163496,0.012211442
cand_000224,30-39,0.6197643,0.66678965,0.6012812,0.065508425,-0.018483102,0.047025323
cand_000233,30-39,0.63889784,0.5958818,0.6580357,-0.062153876,0.01913786,-0.043016016
