generation_mode,age_group,rows,original_callback_rate,nlp_screen_rate,mean_similarity,screen_minus_callback
minimal_proxy,30-39,200,0.71,0.265,0.5864252,-0.44499999999999995
minimal_proxy,40-49,200,0.435,0.42,0.6059728,-0.015000000000000013
minimal_proxy,50-59,200,0.185,0.63,0.63251144,0.445
minimal_proxy,60+,200,0.11,0.645,0.6365,0.535
minimal_proxy,<30,200,0.555,0.29,0.58712244,-0.26500000000000007
with_proxies,30-39,200,0.71,0.305,0.6034064,-0.40499999999999997
with_proxies,40-49,200,0.435,0.51,0.63046545,0.07500000000000001
with_proxies,50-59,200,0.185,0.64,0.6508323,0.455
with_proxies,60+,200,0.11,0.575,0.6404222,0.46499999999999997
with_proxies,<30,200,0.555,0.22,0.5945609,-0.3350000000000001
without_direct_age_proxies,30-39,200,0.71,0.3,0.6063805,-0.41
without_direct_age_proxies,40-49,200,0.435,0.49,0.63527447,0.05499999999999999
without_direct_age_proxies,50-59,200,0.185,0.63,0.6511058,0.445
without_direct_age_proxies,60+,200,0.11,0.625,0.6465471,0.515
without_direct_age_proxies,<30,200,0.555,0.205,0.5972373,-0.3500000000000001
